Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      42 |                   24
         5 |                 27.000000 |                      61 |                   34
         6 |                 39.000000 |                      89 |                   50
         7 |                 52.000000 |                      96 |                   44
         8 |                 68.000000 |                     139 |                   71
         9 |                 85.000000 |                     184 |                   99
        10 |                105.000000 |                     218 |                  113
        11 |                126.000000 |                     313 |                  187
        12 |                150.000000 |                     367 |                  217
        13 |                175.000000 |                     432 |                  257
        14 |                203.000000 |                     451 |                  248
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      44 |                   26
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      72 |                   33
